{1.41, 0.}
{1.455, 39.92796994222423}
{1.5, 0.}
{1.545, 0.}
{1.59, 4.802196839858664}
{1.635, 3.555732931317428}
{1.68, 37.955088286246436}
{1.725, 29.696953723608225}
{1.77, 49.93220454927322}
{1.815, 19.72370319341099}
{1.86, 41.985322373249076}
{1.905, 61.901519444219595}
{1.95, 81.0844847119005}
{1.995, 83.25412298203901}
{2.04, 98.7936635061476}
{2.085, 101.26857413847613}
{2.13, 71.60129420771307}
{2.175, 90.83869917529363}
{2.22, 75.22936897247072}
{2.265, 68.84255020342974}
{2.31, 40.11372687276505}
{2.355, 25.407066576314296}
{2.4, 32.22438483649348}
{2.445, 21.482923224328985}
{2.49, 10.741461612164493}
{2.535, 0.}
{2.58, 0.}
{2.625, 3.5804872040548306}
{2.67, 3.5804872040548306}
{2.715, 0.}
{2.76, 0.}
{2.805, 0.}
{2.85, 0.}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
