{1.95, 8.22288851983347}
{1.995, 10.96385135977796}
{2.04, 13.70481419972245}
{2.085, 22.06333677962654}
{2.13, 19.121558542343}
{2.175, 12.39755487157786}
{2.22, 11.364425298946372}
{2.265, 19.62946187999828}
{2.31, 27.212163880794176}
{2.355, 19.59275799417181}
{2.4, 19.59275799417181}
{2.445, 16.38789995309988}
{2.49, 19.550676575601244}
{2.535, 27.6967918154351}
{2.58, 30.93374791834073}
{2.625, 34.573012379321995}
{2.67, 33.935339180533674}
{2.715, 80.37562207382501}
{2.76, 155.8920167178599}
{2.805, 140.3080463156861}
{2.85, 106.81834872185169}
{2.895, 183.75090727010468}
{2.94, 219.3474170623044}
