{1.95, 57.56021963883429}
{1.995, 35.63251691927837}
{2.04, 41.114442599167354}
{2.085, 11.767112949134154}
{2.13, 25.005115016910075}
{2.175, 17.563202734735302}
{2.22, 15.496943589472327}
{2.265, 17.563202734735302}
{2.31, 19.59275799417181}
{2.355, 19.59275799417181}
{2.4, 21.76973110463534}
{2.445, 24.58184992964982}
{2.49, 48.87669143900311}
{2.535, 55.3935836308702}
{2.58, 69.14602475864399}
{2.625, 41.85154130128452}
{2.67, 74.23355445741741}
{2.715, 109.84668350089419}
{2.76, 150.6956161605979}
{2.805, 147.3234486314704}
{2.85, 200.28440385347193}
{2.895, 110.2505443620628}
{2.94, 73.1158056874348}
