{3.21, 73.82813342102146}
{3.255, 93.02344811048705}
{3.3, 79.73438409470319}
{3.345, 115.7230608286697}
{3.39, 134.65956169154293}
{3.435, 111.51494952580899}
{3.48, 134.65956169154293}
{3.525, 124.13928343439115}
{3.57, 119.93117213153043}
{3.615, 109.41089387437863}
{3.66, 86.2662817086447}
{3.705, 77.85005910292325}
{3.75, 54.705446937189315}
{3.795, 58.91355824005004}
{3.84, 35.76894607431609}
{3.885, 33.66489042288573}
{3.93, 34.82664959454209}
{3.975, 13.627819406559947}
{4.02, 25.741436656835454}
{4.065, 25.741436656835454}
{4.11, 28.76984096940433}
{4.155, 40.88345821967984}
{4.2, 39.369256063395405}
{4.245, 37.855053907110964}
{4.29, 54.871745736148796}
{4.335, 37.98813166348763}
{4.38, 54.871745736148796}
{4.425, 46.42993869981821}
{4.47, 120.61071907664007}
{4.515, 35.7365093560415}
{4.56, 4.467063669505188}
{4.605, 3.341520057474145}
{4.65, 0.}
{4.695, 0.}
{4.74, 0.}
{4.785, 0.}
{4.83, 0.}
{4.875, 0.}
{4.92, 0.}
{4.965, 0.}
{5.01, 0.}
