{2.145, 8.878995714552719}
{2.19, 0.}
{2.235, 0.}
{2.28, 8.928390734949412}
{2.325, 0.}
{2.37, 0.}
{2.415, 1.871207063282726}
{2.46, 8.788958817751448}
{2.505, 3.5256480317364733}
{2.55, 5.327090693319522}
{2.595, 4.070658490070647}
{2.64, 5.112144474314989}
{2.685, 9.084966238246578}
{2.73, 9.88530973775801}
{2.775, 12.79549850425544}
{2.82, 11.86334658521873}
{2.865, 11.70260954149644}
{2.91, 16.97742138774801}
{2.955, 13.44326950351967}
{3., 15.049860186798863}
{3.045, 23.909843154417636}
{3.09, 26.012569620474874}
{3.135, 26.170831092643933}
{3.18, 31.01785330498084}
{3.225, 23.47688273280306}
{3.27, 20.493561069494543}
{3.315, 21.86063005146461}
{3.36, 40.06129377948261}
{3.405, 31.85620517704206}
{3.45, 19.964809087981095}
{3.495, 34.37750768798847}
{3.54, 22.282746980913625}
{3.585, 33.12342512777534}
{3.63, 38.76333048571944}
{3.675, 25.8456328602637}
{3.72, 18.843245864143075}
{3.765, 22.063593159109395}
{3.81, 21.614724938729974}
{3.855, 18.81215030564101}
{3.9, 19.611607594440212}
{3.945, 14.803729928054366}
{3.99, 20.8667714428281}
{4.035, 17.058764137317507}
{4.08, 11.820889241437955}
{4.125, 12.145047865013757}
{4.17, 8.749284527257785}
{4.215, 13.840120118033434}
{4.26, 17.973364193200243}
{4.305, 11.982242795466828}
{4.35, 15.521227199871573}
{4.395, 18.174391464578797}
{4.44, 12.171802558756335}
{4.485, 2.863953543236785}
{4.53, 0.7123312807744923}
{4.575, 0.}
{4.62, 2.561116400883611}
{4.665, 0.}
{4.71, 0.}
{4.755, 0.}
{4.8, 0.}
{4.845, 0.}
{4.89, 0.}
{4.935, 0.}
{4.98, 0.}
{5.025, 0.}
{5.07, 0.}
{5.115, 0.}
{5.16, 0.}
{5.205, 0.}
{5.25, 0.}
