{1.41, 0.}
{1.455, 39.92796994222423}
{1.5, 196.1068860971984}
{1.545, 35.730637950123096}
{1.59, 28.813181039151985}
{1.635, 35.55732931317428}
{1.68, 27.11077734731888}
{1.725, 37.12119215451028}
{1.77, 27.462712502100274}
{1.815, 12.551447486716086}
{1.86, 11.048769045591861}
{1.905, 11.904138354657615}
{1.95, 7.601670441740672}
{1.995, 2.378689228058257}
{2.04, 3.2931221168715865}
{2.085, 0.}
{2.13, 0.}
{2.175, 0.}
{2.22, 0.}
{2.265, 0.}
{2.31, 0.}
{2.355, 0.}
{2.4, 0.}
{2.445, 0.}
{2.49, 0.}
{2.535, 0.}
{2.58, 0.}
{2.625, 0.}
{2.67, 0.}
{2.715, 0.}
{2.76, 0.}
{2.805, 0.}
{2.85, 0.}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
