{1.41, 0.008298755186721992}
{1.455, 0.058091286307053944}
{1.5, 0.04564315352697095}
{1.545, 0.06224066390041494}
{1.59, 0.058091286307053944}
{1.635, 0.049792531120331954}
{1.68, 0.049792531120331954}
{1.725, 0.058091286307053944}
{1.77, 0.07053941908713693}
{1.815, 0.07053941908713693}
{1.86, 0.08298755186721991}
{1.905, 0.03319502074688797}
{1.95, 0.03319502074688797}
{1.995, 0.029045643153526972}
{2.04, 0.008298755186721992}
{2.085, 0.}
{2.13, 0.004149377593360996}
{2.175, 0.}
{2.22, 0.}
{2.265, 0.}
{2.31, 0.004149377593360996}
{2.355, 0.}
{2.4, 0.004149377593360996}
{2.445, 0.}
{2.49, 0.}
{2.535, 0.}
{2.58, 0.}
{2.625, 0.}
{2.67, 0.}
{2.715, 0.}
{2.76, 0.}
{2.805, 0.}
{2.85, 0.}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
