{2.145, 8}
{2.19, 10}
{2.235, 4}
{2.28, 16}
{2.325, 38}
{2.37, 24}
{2.415, 64}
{2.46, 40}
{2.505, 29}
{2.55, 53}
{2.595, 72}
{2.64, 99}
{2.685, 137}
{2.73, 226}
{2.775, 241}
{2.82, 204}
{2.865, 165}
{2.91, 127}
{2.955, 104}
{3., 133}
{3.045, 107}
{3.09, 94}
{3.135, 30}
{3.18, 31}
{3.225, 29}
{3.27, 83}
{3.315, 30}
{3.36, 47}
{3.405, 98}
{3.45, 131}
{3.495, 133}
{3.54, 159}
{3.585, 132}
{3.63, 232}
{3.675, 196}
{3.72, 121}
{3.765, 112}
{3.81, 139}
{3.855, 86}
{3.9, 58}
{3.945, 69}
{3.99, 35}
{4.035, 44}
{4.08, 38}
{4.125, 36}
{4.17, 25}
{4.215, 43}
{4.26, 42}
{4.305, 39}
{4.35, 33}
{4.395, 23}
{4.44, 38}
{4.485, 35}
{4.53, 46}
{4.575, 37}
{4.62, 40}
{4.665, 37}
{4.71, 47}
{4.755, 35}
{4.8, 11}
{4.845, 16}
{4.89, 7}
{4.935, 4}
{4.98, 3}
{5.025, 0}
{5.07, 0}
{5.115, 0}
{5.16, 0}
{5.205, 0}
{5.25, 0}
