{1.41, 0.}
{1.455, 0.004784688995215311}
{1.5, 0.}
{1.545, 0.}
{1.59, 0.004784688995215311}
{1.635, 0.004784688995215311}
{1.68, 0.03349282296650718}
{1.725, 0.03827751196172249}
{1.77, 0.09569377990430622}
{1.815, 0.05263157894736842}
{1.86, 0.09090909090909091}
{1.905, 0.12440191387559808}
{1.95, 0.15311004784688995}
{1.995, 0.16746411483253587}
{2.04, 0.14354066985645933}
{2.085, 0.19617224880382775}
{2.13, 0.11961722488038277}
{2.175, 0.11961722488038277}
{2.22, 0.10047846889952153}
{2.265, 0.08133971291866028}
{2.31, 0.043062200956937795}
{2.355, 0.03349282296650718}
{2.4, 0.043062200956937795}
{2.445, 0.028708133971291863}
{2.49, 0.014354066985645932}
{2.535, 0.}
{2.58, 0.}
{2.625, 0.004784688995215311}
{2.67, 0.004784688995215311}
{2.715, 0.}
{2.76, 0.}
{2.805, 0.}
{2.85, 0.}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
