{3.21, 93}
{3.255, 101}
{3.3, 96}
{3.345, 72}
{3.39, 97}
{3.435, 90}
{3.48, 101}
{3.525, 81}
{3.57, 82}
{3.615, 81}
{3.66, 92}
{3.705, 83}
{3.75, 98}
{3.795, 72}
{3.84, 93}
{3.885, 67}
{3.93, 63}
{3.975, 60}
{4.02, 54}
{4.065, 59}
{4.11, 51}
{4.155, 48}
{4.2, 35}
{4.245, 46}
{4.29, 40}
{4.335, 39}
{4.38, 63}
{4.425, 54}
{4.47, 54}
{4.515, 54}
{4.56, 73}
{4.605, 46}
{4.65, 33}
{4.695, 16}
{4.74, 9}
{4.785, 1}
{4.83, 0}
{4.875, 0}
{4.92, 0}
{4.965, 0}
{5.01, 0}
