{1.95, 0.}
{1.995, 5.48192567988898}
{2.04, 0.}
{2.085, 0.}
{2.13, 5.883556474567077}
{2.175, 3.099388717894465}
{2.22, 2.066259145262977}
{2.265, 1.0331295726314884}
{2.31, 4.353946220927068}
{2.355, 0.}
{2.4, 9.796378997085904}
{2.445, 12.29092496482491}
{2.49, 14.663007431700933}
{2.535, 39.10135315120249}
{2.58, 54.58896691471894}
{2.625, 36.39264460981262}
{2.67, 53.023967469583866}
{2.715, 91.09237168366835}
{2.76, 88.33880947345394}
{2.805, 112.24643705254888}
{2.85, 80.11376154138877}
{2.895, 18.375090727010466}
{2.94, 73.1158056874348}
