{2.145, 2}
{2.19, 0}
{2.235, 0}
{2.28, 3}
{2.325, 0}
{2.37, 0}
{2.415, 1}
{2.46, 5}
{2.505, 2}
{2.55, 4}
{2.595, 3}
{2.64, 4}
{2.685, 9}
{2.73, 11}
{2.775, 13}
{2.82, 12}
{2.865, 15}
{2.91, 20}
{2.955, 18}
{3., 22}
{3.045, 24}
{3.09, 30}
{3.135, 29}
{3.18, 38}
{3.225, 28}
{3.27, 28}
{3.315, 28}
{3.36, 48}
{3.405, 53}
{3.45, 34}
{3.495, 54}
{3.54, 37}
{3.585, 48}
{3.63, 52}
{3.675, 41}
{3.72, 38}
{3.765, 36}
{3.81, 42}
{3.855, 35}
{3.9, 38}
{3.945, 30}
{3.99, 39}
{4.035, 32}
{4.08, 22}
{4.125, 22}
{4.17, 15}
{4.215, 24}
{4.26, 30}
{4.305, 20}
{4.35, 21}
{4.395, 24}
{4.44, 17}
{4.485, 4}
{4.53, 1}
{4.575, 0}
{4.62, 4}
{4.665, 0}
{4.71, 0}
{4.755, 0}
{4.8, 0}
{4.845, 0}
{4.89, 0}
{4.935, 0}
{4.98, 0}
{5.025, 0}
{5.07, 0}
{5.115, 0}
{5.16, 0}
{5.205, 0}
{5.25, 0}
