{1.41, 0.}
{1.455, 0.}
{1.5, 0.}
{1.545, 0.}
{1.59, 0.}
{1.635, 0.01098901098901099}
{1.68, 0.}
{1.725, 0.005494505494505495}
{1.77, 0.}
{1.815, 0.038461538461538464}
{1.86, 0.}
{1.905, 0.02197802197802198}
{1.95, 0.01098901098901099}
{1.995, 0.038461538461538464}
{2.04, 0.06043956043956045}
{2.085, 0.1098901098901099}
{2.13, 0.13736263736263737}
{2.175, 0.1263736263736264}
{2.22, 0.1098901098901099}
{2.265, 0.08241758241758243}
{2.31, 0.08791208791208792}
{2.355, 0.11538461538461539}
{2.4, 0.15934065934065936}
{2.445, 0.09890109890109891}
{2.49, 0.05494505494505495}
{2.535, 0.049450549450549455}
{2.58, 0.07142857142857144}
{2.625, 0.06043956043956045}
{2.67, 0.038461538461538464}
{2.715, 0.01098901098901099}
{2.76, 0.005494505494505495}
{2.805, 0.016483516483516484}
{2.85, 0.01098901098901099}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
