{1.41, 0.}
{1.455, 0.}
{1.5, 0.}
{1.545, 0.026200873362445413}
{1.59, 0.06986899563318777}
{1.635, 0.05240174672489083}
{1.68, 0.03930131004366812}
{1.725, 0.048034934497816595}
{1.77, 0.06550218340611354}
{1.815, 0.05676855895196506}
{1.86, 0.05676855895196506}
{1.905, 0.043668122270742356}
{1.95, 0.0611353711790393}
{1.995, 0.08733624454148471}
{2.04, 0.074235807860262}
{2.085, 0.043668122270742356}
{2.13, 0.021834061135371178}
{2.175, 0.017467248908296942}
{2.22, 0.013100436681222707}
{2.265, 0.008733624454148471}
{2.31, 0.004366812227074236}
{2.355, 0.013100436681222707}
{2.4, 0.}
{2.445, 0.}
{2.49, 0.}
{2.535, 0.}
{2.58, 0.}
{2.625, 0.}
{2.67, 0.}
{2.715, 0.}
{2.76, 0.}
{2.805, 0.}
{2.85, 0.}
{2.895, 0.}
{2.94, 0.}
{2.985, 0.}
{3.03, 0.}
{3.075, 0.}
{3.12, 0.}
{3.165, 0.}
