{3.21, 138.79689083152036}
{3.255, 143.22657883678164}
{3.3, 159.46876818940638}
{3.345, 204.09339818874477}
{3.39, 216.71773209732692}
{3.435, 258.79884512593406}
{3.48, 174.63661906871974}
{3.525, 180.94878602301083}
{3.57, 220.92584340018763}
{3.615, 170.42850776585902}
{3.66, 170.42850776585902}
{3.705, 170.42850776585902}
{3.75, 130.45145038868222}
{3.795, 98.89061561722684}
{3.84, 134.65956169154293}
{3.885, 96.78655996579649}
{3.93, 84.79532075192856}
{3.975, 68.13909703279974}
{4.02, 54.51127762623979}
{4.065, 80.25271428307525}
{4.11, 81.76691643935968}
{4.155, 89.33792722078188}
{4.2, 56.02547978252423}
{4.245, 60.568086251377544}
{4.29, 67.53445629064467}
{4.335, 105.52258795413229}
{4.38, 61.20310101339673}
{4.425, 78.0867150860579}
{4.47, 98.27540072911412}
{4.515, 22.335318347525938}
{4.56, 13.401191008515564}
{4.605, 3.341520057474145}
{4.65, 0.}
{4.695, 0.}
{4.74, 0.}
{4.785, 0.}
{4.83, 0.}
{4.875, 0.}
{4.92, 0.}
{4.965, 0.}
{5.01, 0.}
