{2.145, 0.01}
{2.19, 0.0225}
{2.235, 0.14250000000000002}
{2.28, 0.0775}
{2.325, 0.065}
{2.37, 0.055}
{2.415, 0.075}
{2.46, 0.11750000000000001}
{2.505, 0.1775}
{2.55, 0.195}
{2.595, 0.13}
{2.64, 0.0775}
{2.685, 0.245}
{2.73, 0.2425}
{2.775, 0.35000000000000003}
{2.82, 0.385}
{2.865, 0.41000000000000003}
{2.91, 0.9825}
{2.955, 0.8425}
{3., 0.9725}
{3.045, 0.47250000000000003}
{3.09, 0.3775}
{3.135, 0.4625}
{3.18, 0.62}
{3.225, 0.3275}
{3.27, 0.51}
{3.315, 0.48}
{3.36, 0.5525}
{3.405, 0.56}
{3.45, 0.6}
{3.495, 0.6975}
{3.54, 1.}
{3.585, 0.675}
{3.63, 0.5725}
{3.675, 0.6950000000000001}
{3.72, 0.89}
{3.765, 0.59}
{3.81, 0.375}
{3.855, 0.5525}
{3.9, 0.295}
{3.945, 0.2275}
{3.99, 0.22}
{4.035, 0.21}
{4.08, 0.1625}
{4.125, 0.19}
{4.17, 0.10250000000000001}
{4.215, 0.12}
{4.26, 0.12}
{4.305, 0.13}
{4.35, 0.0975}
{4.395, 0.0975}
{4.44, 0.095}
{4.485, 0.0525}
{4.53, 0.055}
{4.575, 0.035}
{4.62, 0.0325}
{4.665, 0.0575}
{4.71, 0.05}
{4.755, 0.015}
{4.8, 0.03}
{4.845, 0.0475}
{4.89, 0.}
{4.935, 0.}
{4.98, 0.}
{5.025, 0.}
{5.07, 0.}
{5.115, 0.}
{5.16, 0.}
{5.205, 0.}
{5.25, 0.}
