{1.95, 0.029045643153526972}
{1.995, 0.029045643153526972}
{2.04, 0.024896265560165977}
{2.085, 0.04149377593360996}
{2.13, 0.012448132780082988}
{2.175, 0.04564315352697095}
{2.22, 0.049792531120331954}
{2.265, 0.04149377593360996}
{2.31, 0.06224066390041494}
{2.355, 0.07883817427385892}
{2.4, 0.16182572614107885}
{2.445, 0.14522821576763487}
{2.49, 0.11203319502074689}
{2.535, 0.14107883817427386}
{2.58, 0.08713692946058091}
{2.625, 0.07053941908713693}
{2.67, 0.058091286307053944}
{2.715, 0.024896265560165977}
{2.76, 0.03734439834024896}
{2.805, 0.024896265560165977}
{2.85, 0.02074688796680498}
{2.895, 0.}
{2.94, 0.004149377593360996}
